Route,Also,Towns
1,361,"Newark, Kearny, Jersey City, Irvington TWP"
2,,"Jersey City, Secaucus"
10,,"Bayonne, Jersey City"
11,28,"Cedar Grove IN ESSEX CO, Little Falls TWP, montclair TWP, Glen Ridge, Bloomfield, Newark"
13,,"Clifton, Nutley, Belleville, Newark, Irvington TWP"
21,,"West Orange, Orange, East Orange, Newark"
22,,"Hoboken, Jersey City, UNION CITY IN HUDSON CO, North Bergen, Guttenberg"
23,,"Hoboken, Weehawken TWP, Guttenberg, North Bergen, West New York"
25,"375, go25","Maplewood TWP, Irvington TWP, Newark"
26,52,"Irvington TWP, Springfield TWP in Union Co, Hillside in Union co, Elizabeth, union twp in union co"
27,,"Clifton, Nutley, Newark, Irvington TWP"
go28,,"Bloomfield, Newark"
29,,"Aberdeen, New York City, Old Bridge TWP, Matawan"
34,,"Bloomfield, montclair TWP, Orange, East Orange, Newark"
37,,"Maplewood TWP, Irvington TWP, Newark"
39,,"Irvington TWP, Newark"
40,,"Kearny, harrison in hudson co, Newark, Elizabeth"
41,,"Orange, East Orange, Newark, Lincoln Park Boro"
48,,"Edison TWP, Woodbridge TWP, Perth Amboy, Rahway, Linden, Elizabeth, Carteret"
56,57,"Winfield, Cranford, Roselle, Linden, Elizabeth"
58,,"Cranford, Roselle Park, Kenilworth, Elizabeth"
59,,"Plainfield, Dunellen, Westfield, Garwood, Roselle, Cranford, Hillside in Union co, Newark, Elizabeth"
62,,"Elizabeth, Newark"
63,64,"Old Bridge TWP, Marlboro TWP, Jersey City, freehold boro, Freehold TWP, Lakewood TWP, Weehawken TWP, Howell TWP, Jersey City, Manalapan TWP, Jersey City, Hoboken"
65,66,"Mountainside, Springfield TWP in Union Co, Union Twp in Union Co, Hillside in Union co, Newark"
67,,"Old Bridge TWP, Marlboro TWP, freehold boro, Seaside Heights - seasonal, Manalapan TWP, Freehold TWP, Howell TWP, Toms River, Seaside Park - seasonal"
68,,"Old Bridge TWP, East Brunswick TWP, Jersey City, Hoboken, Weehawken TWP"
70,,"Florham Park, Summit, Livingston TWP, Millburn TWP, Springfield TWP in Union Co, Union Twp in Union Co, Maplewood TWP, Irvington TWP, Newark"
71,,"Fairfield TWP in Essex Co, West Caldwell TWP, Caldwell, West Orange, Roseland, Orange, Essex Fells, Livingston TWP, Orange, East Orange, Newark"
72,,"Paterson, Clifton, Bloomfield, Newark"
73,,"Whippany, New Hanover TWP, Florham Park, West Orange, Livingston TWP, Orange, East Orange, Newark"
74,,"Paterson, Clifton, Passaic, Nutley, Newark"
76,,"Kearny, Harrison in Hudson co, Newark, Elizabeth"
78,378,"Newark, Secaucus"
79,,"Parsippany, West Orange, Orange, East Orange, Newark"
81,,"Bayonne, Jersey City"
83,,"Hackensack in Bergen Co, UNION CITY IN HUDSON CO, Jersey City, Fairview in Bergen co, North Bergen, Ridgefield Park, Bogota, Teaneck"
84,,"Jersey City, UNION CITY IN HUDSON CO, North Bergen, Weehawken TWP, West New York, Guttenberg"
85,,"East Rutherford, Secaucus, North Bergen, UNION CITY IN HUDSON CO, Hoboken"
86,,"Jersey City, UNION CITY IN HUDSON CO"
87,,"Jersey City, Hoboken"
88,,"Jersey City, UNION CITY IN HUDSON CO, West New York, Guttenberg, North Bergen"
89,,"Hoboken, Weehawken TWP, West New York, UNION CITY IN HUDSON CO, North Bergen"
90,,"Bloomfield, East Orange, Newark, Irvington TWP"
92,,"Bloomfield, Orange, South Orange"
94,,"Bloomfield, East Orange, Newark, Irvington TWP, Union Twp in Union Co, Roselle Park, Linden, Roselle"
99,,"Old Bridge TWP, Marlboro TWP, Manalapan TWP, Englishtown, Freehold TWP, freehold boro, Howell TWP, Lakewood TWP, Jackson TWP in Ocean Co"
107,,"South Orange, Maplewood TWP, Irvington TWP, Newark, UNION CITY IN HUDSON CO, New York City"
108,,"Newark, UNION CITY IN HUDSON CO, New York City"
111,,"Elizabeth, Newark, UNION CITY IN HUDSON CO, New York City"
112,,"Scotch Plains TWP, Roselle, Clark, Linden, Elizabeth, New York City"
113,,"Dunellen, Plainfield, Fanwood, Scotch Plains TWP, Garwood, Cranford, Westfield, Hillside in Union co, Elizabeth, New York City"
114,117,"Bridgewater, Somerville, Dunellen, Bound Brook, North Plainfield, Scotch Plains TWP, Mountainside, Springfield TWP in Union Co, Union Twp in Union Co, Hillside in Union co, New York City, Plainfield"
115,,"Avenel, Rahway, Roselle, Linden, Elizabeth, New York City"
116,,"Perth Amboy, Woodbridge TWP, Carteret, New York City"
119,,"Bayonne, Jersey City, UNION CITY IN HUDSON CO, Weehawken TWP"
120,,"Bayonne, New York City"
121,,"North Bergen, UNION CITY IN HUDSON CO, New York City, Weehawken TWP"
122,190,"Paterson, Clifton, Passaic, Rutherford, Lyndhurst TWP, Secaucus, New York City"
123,,"Jersey City, UNION CITY IN HUDSON CO, New York City"
124,"129, 139","Secaucus, UNION CITY IN HUDSON CO, New York City"
125,,"Jersey City, UNION CITY IN HUDSON CO, New York City, North Bergen"
126,,"Jersey City, Hoboken, New York City"
127,,"New York City, UNION CITY IN HUDSON CO, North Bergen, Ridgefield, Fairview in Bergen co, Palisades Park"
128,,"North Bergen, Guttenberg, West New York, Weehawken TWP, New York City"
130,"132, 136, 139","Old Bridge TWP, Marlboro TWP, Manalapan TWP, Englishtown, Freehold TWP, freehold boro, Howell TWP, Lakewood TWP, Jackson TWP in Ocean Co"
131,135,"Old Bridge TWP, Matawan, Aberdeen, Freehold TWP, freehold boro, Marlboro TWP, Sayreville, New York City"
133,,"Aberdeen, New York City, Old Bridge Twp, Matawan"
137,319,"Brick TWP, Toms River, Lakewood TWP, New York City, Seaside Heights - seasonal, Seaside Park - Seasonal"
138,,"New York City, East Brunswick TWP, Old Bridge TWP, Monroe TWP in Middlesex Co, Spotswood"
145,,"Fair Lawn, Paramus, New York City"
148,,"Midland Park, Wyckoff, Hawthorne, Glen Rock, Fair Lawn, Ridgewood, New York City"
164,,"Midland Park, Glen Rock, Ridgewood, Fair Lawn, Saddle Brook TWP, Rochelle Park TWP, Maywood, Hackensack City in E. Rutherford, Hackensack in Bergen Co, Hasbrouck Heights, Wood-Ridge, Carlstadt, East Rutherford, New York City"
151,161,"Elmwood Park, Saddle Brook TWP, Lodi, Passaic, Garfield, Hasbrouck Heights, Teterboro, Little Ferry, Moonachie, Ridgefield, Carlstadt, New York City, UNION CITY IN HUDSON CO"
153,159,"Cliffside Park, West New York, Edgewater in Bergen Co, Weehawken TWP, North Bergen, Fairview in Bergen co, Guttenberg, New York City, Fort Lee"
154,,"Fort Lee, Palisades Park, Ridgefield, Fairview in Bergen co, Guttenberg, North Bergen, West New York, Weehawken TWP, New York City, UNION CITY IN HUDSON CO"
155,168,"Paramus, Maywood, Hackensack City in E. Rutherford, Hackensack in Bergen Co, Bogota, Teaneck, Fairview in Bergen co, Ridgefield Park, Ridgefield, West New York, Guttenberg, North Bergen, Weehawken TWP, New York City"
156,,"Englewood Cliffs, Fort Lee, Cliffside Park, Fairview in Bergen co, Edgewater in Bergen Co, North Bergen, Guttenberg, UNION CITY IN HUDSON CO, Weehawken TWP, New York City"
157,"167, 177","Haworth, New Milford, Bergenfield, Dumont, Teaneck, Ridgefield, Ridgefield Park, New York City, UNION CITY IN HUDSON CO, Harrington Park"
158,,"Weehawken TWP, New York City, West New York, Guttenberg, North Bergen, Edgewater in Bergen Co, Fort Lee"
160,,"Elmwood Park, Saddle Brook TWP, Fair Lawn, Garfield, Wallington, East Rutherford, UNION CITY IN HUDSON CO, New York City"
162,163,"Ridgewood, Paramus, Hasbrouck Heights, Hackensack City in E. Rutherford, Hackensack in Bergen Co, Wood-Ridge, Carlstadt, East Rutherford, UNION CITY IN HUDSON CO, New York City"
165,,"Westwood, Emerson, Paramus, Oradell, River Edge, Hackensack City in E. Rutherford, Hackensack in Bergen Co, Teterboro, Ridgefield Park, Ridgefield, North Bergen, Guttenberg, Weehawken TWP, West New York, New York City, Little Ferry"
166,,"Cresskill, Dumont, Bergenfield, Tenafly, Englewood, Leonia, Ridgefield, Palisades Park, Fairview in Bergen co, North Bergen, West New York, Weehawken TWP, New York City"
171,,"Paterson, Fair Lawn, Paramus, Hackensack City in E. Rutherford, Hackensack in Bergen Co, Teaneck, Englewood, Fort Lee, New York City"
175,,"Glen Rock, Ridgewood, Paramus, Fair Lawn, Rochelle Park TWP, Maywood, Hackensack City in E. Rutherford, Hackensack in Bergen Co, Teaneck, Fort Lee, New York City, Englewood"
178,182,"Hackensack City in E. Rutherford, Hackensack in Bergen Co, Teaneck, Englewood, Fort Lee, New York City, Leonia, Bogota"
181,,"UNION CITY IN HUDSON CO, West New York, Guttenberg, North Bergen, Fairview in Bergen co, Cliffside Park, Fort Lee, New York City"
186,,"Dumont, Teaneck, Bergenfield, Englewood Cliffs, Englewood, New York City, Fort Lee"
188,,"West New York, North Bergen, Guttenberg, Fort Lee"
191,195,"Cedar Grove in Essex Co, Little Falls TWP, montclair TWP, Clifton, Lyndhurst TWP, Rutherford, New York City, UNION CITY IN HUDSON CO, Wayne TWP"
192,199,"Clifton, Nutley, Rutherford, Lyndhurst TWP, New York City"
193,"194, 197, 198, 324","Wayne TWP, New York City"
194,,"Hardyston TWP, Kinnelon, West Milford TWP, Butler, Bloomingdale, Pompton Lakes, Riverdale, Pequannock TWP, Wayne TWP, New York City"
196,"197, 198","Warwick NY, Greenwood Lake NY, Greenwood Lake in Passaic Co, Ringwood, Wanaque, Pompton Lakes, New York City, Totowa"
313,315,"Philadelphia, Camden, Turnersville, Williamstown, Collings Lakes, Mays Landing, Pitman, Glassboro, Franklin Lakes, Vineland, Woodbine, Leesburg Cumb, Sea Isle City, Avalon, Stone Harbor, North Wildwood, Dennis, Cape May Court House, Lower TWP, Wildwood, Cape May"
317,,"Philadelphia, Moorestown TWP, Camden, Cherry Hill, Mount Laurel, Lumberton, Pemberton TWP, Wrightstown, Browns Mills, Cookstown, Cassville, Lakewood TWP, Point Pleasant Beach, Brick TWP, Manasquan, Spring Lake, Sea Girt, Wall TWP, Bradley Beach, Belmar in Monmouth Co, Asbury Park"
319,,"Cape May, Wildwood, North Wildwood, Stone Harbor, Avalon, Sea Isle City, Ocean City in Cape May Co, Little Egg Harbor TWP, Toms River, Jersey City, Brick TWP, Newark, New York City"
320,,"Secaucus, North Bergen, New York City"
321,,"Ridgefield, New York City"
400,,"Camden, Philadelphia, Mount Ephraim Boro, Bellmawr in Camden Co, Deptford, Haddon TWP, Audubon, Haddon Heights, Runnemede, Blackwood, Sicklerville, Turnersville, Williamstown"
401,"402, 410, 412","Philadelphia, Camden, Gloucester City, Brooklawn, Westville, Woodbury, West Deptford, Clarksboro, Swedesboro, Pilesgrove TWP, Woodstown, Woolwich TWP, Salem, Mannington"
402,,"Philadelphia, Camden, Gloucester City, Westville, Woodbury, Paulsboro, Beckett, Carney's Point, Pennsville TWP, Penns Grove, Logan TWP, West Deptford, Brooklawn"
403,,"Camden, Collingswood, Audubon, Oaklyn, Haddon Heights, Somerdale, Voorhees TWP, Lindenwold, Stratford, Magnolia, Lawnside, Barrington, Pine Hill, Blackwood, Turnersville, Gloucester TWP, Erial"
404,,"Philadelphia, Camden, Merchantville, Pennsauken TWP, Cherry Hill"
